accX,accY,accZ,gyroX,gyroY,gyroZ
9.309,-0.249,4.931,0.017,-0.023,-0.023
8.792,0.062,4.390,-0.027,0.071,-0.123
9.562,-0.029,4.739,0.133,0.036,-0.007
17.530,-0.838,6.023,-0.065,-0.015,-0.013
25.628,2.035,11.347,0.767,-2.883,-0.619
-0.206,0.034,0.281,0.072,1.915,-0.326
-0.201,0.057,0.482,0.156,2.567,-0.305
-0.235,0.038,0.545,0.250,2.643,-0.292
-0.220,0.048,0.703,0.327,2.721,-0.246
-0.239,0.029,0.880,0.301,2.710,-0.227
-0.206,0.038,1.100,0.065,2.194,-0.184
-0.110,0.029,1.569,-0.203,0.794,-0.230
23.703,-15.562,36.137,-0.603,1.704,4.335
5.780,-6.953,22.255,-0.112,-0.396,0.039
-0.158,-0.335,9.983,0.014,-0.002,-0.016
-0.192,-0.373,10.275,0.018,-0.003,-0.003
-0.086,-0.369,10.318,0.005,-0.026,-0.005
-0.172,-0.359,10.375,0.014,-0.028,-0.013
-0.086,-0.378,10.342,0.022,-0.023,-0.018
-0.091,-0.330,10.303,0.009,-0.013,-0.002
-0.067,-0.383,10.347,0.020,-0.028,0.000
-0.105,-0.388,10.394,0.010,-0.023,-0.016
-0.077,-0.412,10.366,0.016,-0.020,-0.018
-0.072,-0.393,10.347,0.018,-0.021,-0.019
-0.081,-0.373,10.275,0.000,-0.022,0.003
-0.120,-0.378,10.366,0.021,-0.018,-0.003
-0.091,-0.340,10.313,0.018,-0.014,-0.015
-0.144,-0.397,10.337,0.012,-0.018,-0.003
-0.148,-0.412,10.385,0.009,-0.020,-0.019
0.048,-0.383,10.327,0.020,-0.018,-0.015
