accX,accY,accZ,gyroX,gyroY,gyroZ
3.270,4.563,10.706,0.529,-0.448,-1.233
3.634,3.098,11.793,0.161,-0.422,-2.152
1.508,-1.322,12.104,0.594,-1.435,-3.709
-4.262,-3.989,11.649,0.879,-0.996,-2.254
-5.224,-2.346,10.916,0.143,-0.299,-0.337
-1.709,-1.556,9.906,-0.123,0.642,2.406
0.575,-1.532,10.576,-0.218,0.186,3.019
5.411,1.034,12.042,-1.912,1.756,4.304
6.785,4.678,12.377,-0.852,0.467,1.631
7.676,5.248,12.856,-0.112,0.222,-0.086
3.816,0.311,9.533,1.838,-0.783,-4.013
1.499,-2.744,12.324,0.595,-0.338,-3.941
-1.288,-4.281,10.768,1.016,-0.348,-3.736
-4.745,-4.238,10.069,1.038,-1.464,-2.260
-3.462,-3.194,9.997,-0.311,0.405,2.236
1.044,-2.868,10.605,-0.404,0.479,3.418
3.299,-2.859,11.932,-0.706,0.345,3.957
8.614,1.700,15.183,-2.189,1.136,4.314
8.849,4.669,12.410,0.140,0.406,1.971
6.124,2.342,11.884,0.821,0.332,-2.223
3.582,-1.968,11.673,2.332,-0.602,-4.790
-0.153,-3.563,10.327,1.631,-1.333,-4.759
-4.037,-6.167,9.930,0.077,-0.488,-3.057
-6.895,-5.669,9.872,0.369,-0.822,-1.690
-2.950,-5.325,11.070,-0.523,0.193,2.262
2.179,-5.995,11.951,-0.722,1.024,5.276
6.321,-2.667,10.897,-0.735,1.054,5.298
9.907,4.654,12.851,-1.578,0.474,3.616
6.235,3.496,14.072,0.203,0.194,-1.386
5.171,-0.345,12.564,1.418,-0.127,-2.890
