accX,accY,accZ,gyroX,gyroY,gyroZ
-4.688,6.158,12.927,-0.101,0.529,0.172
-5.689,5.895,15.868,1.816,-0.158,0.453
-4.113,4.458,9.901,4.536,0.835,0.493
-2.763,3.706,-1.897,3.464,1.094,-0.061
-2.203,2.825,-4.474,-0.462,-0.038,-0.052
-1.623,1.733,0.435,-4.159,-1.051,0.328
0.431,-1.408,14.398,-5.946,-1.658,-0.365
-0.364,-1.446,19.315,-3.993,-3.114,-0.740
-0.986,-2.883,24.932,-2.787,-0.532,-0.505
0.900,-4.865,18.994,2.087,0.461,-0.013
0.177,-2.045,11.453,3.880,2.558,0.126
-0.953,0.766,0.660,2.759,1.713,-0.599
-1.504,0.570,-2.213,1.149,1.031,-0.248
-1.705,0.804,2.436,-1.600,-1.726,0.311
-1.772,0.584,8.786,-2.611,-2.237,0.191
0.177,-0.115,16.045,-3.460,-2.341,-0.230
0.795,-0.594,23.165,-0.832,-0.846,-0.214
-0.177,-2.433,18.223,1.597,2.502,0.048
0.244,-1.858,8.742,3.715,2.796,0.508
-0.733,1.513,-0.585,2.237,2.488,0.343
-2.260,1.403,-0.772,-0.186,-1.188,-0.273
-0.685,0.986,4.184,-1.779,-1.750,-0.032
0.522,-0.776,10.385,-2.298,-2.496,-0.307
2.677,-2.634,17.831,-2.053,-2.366,-0.157
0.584,-0.503,22.217,-0.817,-0.245,0.495
0.589,-1.571,16.394,2.494,1.714,0.329
0.335,-1.130,10.361,3.078,2.254,0.349
-1.049,0.713,3.097,2.812,2.296,0.200
-0.781,1.504,-2.726,0.805,0.319,0.016
-1.360,1.279,-0.868,-0.892,-1.221,0.119
