accX,accY,accZ,gyroX,gyroY,gyroZ
7.321,-2.333,6.832,1.346,-0.124,-0.785
7.321,-2.333,6.832,-0.296,-0.001,-0.321
7.321,-2.333,6.832,0.430,-0.486,-0.493
6.341,-2.261,6.705,1.425,-0.080,-0.173
7.395,-4.157,5.862,0.266,-0.550,-0.396
6.897,-5.211,5.843,-0.114,-0.242,0.324
6.610,-4.406,5.307,-0.863,-0.688,-0.021
5.403,-3.180,4.885,-0.506,-0.526,0.916
9.828,-0.785,6.054,-1.292,0.373,0.316
8.774,-0.805,5.652,-0.919,0.057,0.409
10.001,-1.284,6.418,0.371,-0.399,-0.003
8.947,-0.986,5.255,1.146,0.053,-0.654
8.256,-3.333,6.916,1.938,-0.167,-0.473
7.613,-2.797,6.140,1.547,-0.140,-0.542
6.995,-3.441,5.653,1.249,0.264,-0.492
6.365,-3.647,5.064,1.049,0.177,-0.312
7.490,-4.555,5.589,-0.402,0.345,0.333
7.666,-2.998,4.965,-0.769,0.329,1.078
8.402,-2.340,4.437,-1.081,-0.171,1.030
7.593,-1.894,4.447,-1.480,0.414,0.416
7.559,-2.231,5.184,-1.315,-0.010,0.628
9.131,-0.007,5.352,-0.840,0.083,0.425
11.094,-1.332,7.035,-0.172,0.196,-0.718
10.166,-1.515,7.469,0.394,0.017,-0.716
9.060,-3.428,7.306,1.449,-0.144,-1.310
8.301,-2.877,6.015,1.321,0.274,-1.225
6.909,-2.722,3.832,1.056,0.438,-1.285
7.187,-3.216,3.673,-0.100,0.097,-0.316
7.601,-3.220,3.396,-0.773,-0.141,0.077
7.617,-1.343,5.287,-2.115,-0.028,0.939
