accX,accY,accZ,gyroX,gyroY,gyroZ
-0.038,-0.014,10.370,0.017,-0.021,-0.019
-2.155,1.657,9.394,-0.800,0.287,-0.105
-0.666,-1.073,8.632,-1.032,-0.473,-0.493
0.254,-1.144,9.844,-0.664,-0.489,-0.452
1.164,-2.461,9.758,-1.792,-0.487,-0.130
0.852,-1.786,9.968,0.669,0.923,-0.446
0.986,-8.140,36.644,-0.129,-4.365,-0.422
-0.139,-0.053,0.583,1.891,2.576,1.181
-0.211,-0.072,0.712,1.447,2.756,1.517
-0.239,-0.081,0.741,1.154,2.744,1.643
-19.393,29.200,1.282,-12.598,-19.766,-4.455
-0.306,0.220,11.678,0.086,0.044,-0.011
-0.254,0.268,10.466,0.013,-0.003,-0.003
-0.163,0.244,10.337,0.007,-0.007,-0.016
-0.144,0.335,10.275,0.013,-0.018,-0.009
-0.124,0.254,10.332,-0.001,-0.022,-0.019
-0.139,0.220,10.351,0.012,-0.030,-0.013
-0.158,0.172,10.313,0.003,-0.028,-0.010
-0.144,0.239,10.375,0.017,-0.015,-0.016
-0.182,0.215,10.303,0.010,-0.015,-0.005
-0.168,0.192,10.361,0.015,-0.023,-0.016
-0.182,0.196,10.332,0.022,-0.017,-0.012
-0.177,0.201,10.351,0.010,-0.027,-0.022
-0.134,0.168,10.308,0.005,-0.016,-0.016
-0.153,0.172,10.323,0.006,-0.020,-0.012
-0.134,0.192,10.375,0.025,-0.015,-0.010
-0.105,0.153,10.327,0.017,-0.016,-0.013
-0.105,0.168,10.347,0.019,-0.010,-0.020
-0.148,0.220,10.356,0.035,-0.015,-0.018
-0.139,0.192,10.347,0.028,-0.009,-0.004
